DA_word,count_DA
ده,2308
اللي,2259
كده,993
مش,851
بس,497
اي,434
عشان,324
عايز,318
طب,311
كمان,285
دلوقتي,266
وده,251
النهارده,247
ازاي,228
ليه,212
ممكن,212
لما,207
علشان,201
مين,187
لحد,178
واللي,164
كتير,159
دول,154
شويه,148
حد,136
عندك,136
لسه,129
عارف,128
بتاع,122
عندنا,120
لازم,117
اه,117
ماشي,117
تاني,116
خلاص,109
بيقول,102
بتاعه,99
بتاعنا,99
حصل,96
فين,95
اكتر,94
خالص,93
تقدر,92
اس,91
هتلاقي,90
يلا,86
عندي,82
وكمان,81
كام,81
بيحصل,80
ودي,78
هيكون,77
اف,77
بكام,75
لايك,74
ناس,72
ومش,72
بص,70
معاك,69
فيش,69
بالك,68
جاي,68
نص,67
معاه,65
جوه,64
الميه,63
الراجل,62
معايا,62
ولو,61
عايزين,61
معانا,60
برضو,59
خد,59
حاجات,56
عارفين,56
بتاعته,56
كانش,55
برض,55
بيه,54
برده,54
كويس,52
دايما,52
ايوه,52
مافيش,51
بتساوي,50
اكس,50
فتحه,50
بتقول,49
حوالين,48
شايفين,48
عنده,46
تانيه,46
بيكون,46
عاوز,46
سنين,45
بيها,45
اعمل,44
واحنا,44
شوف,43
ليها,41
بره,41
تيجي,40
هيبقى,40
هنتكلم,40
بقول,40
بالظبط,39
بنتكلم,39
هتكون,38
جه,38
الحاجات,38
صح,38
حته,37
فيهم,37
ينفعش,37
تنساش,37
بتاعتك,36
الاتنين,36
ار,36
وبعدين,35
بالشكل,34
لغايه,34
بتكون,34
هتساوي,34
وعلشان,34
نشوف,33
ولما,33
كلمه,33
ودلوقتي,33
حاله,32
وعشان,32
بتاعتنا,32
حلو,31
التاني,31
حضراتكم,31
فاتت,30
تلاقي,30
عملت,30
عامله,30
بيقوللك,30
معناه,29
كتيره,29
اجيب,29
واخد,29
بابا,29
حصلت,28
شايف,28
تنزل,28
وعايز,28
بجد,28
شبه,27
قدام,27
محتاج,27
هتطلع,27
فاكر,27
يوصلك,27
طلع,27
شغال,27
تنسوش,26
بتحصل,26
حدش,26
لوحده,26
بنت,26
فده,26
عامل,26
واشتراك,26
اهي,26
الاي,26
وقتها,25
اتكلمنا,25
ثاني,25
بيجي,25
المفروض,25
غلط,25
باي,25
بيتكلم,25
ست,25
يقوللك,25
بصفر,25
التانيه,24
بحيث,24
عليا,24
منين,24
السيرفرات,24
مستر,24
يوصل,23
عارفه,23
فلازم,23
يقدر,23
ياخد,23
بتعمل,23
فلوس,23
هات,23
هقول,23
سيرفرات,23
الاتش,23
وزي,22
الواحد,22
هتبقى,22
هتعمل,22
هنعمل,22
بتاعتي,22
اتنين,22
معلش,22
عالي,22
ورا,22
رايح,22
قاعد,22
بتاعي,22
جيجا,22
بتاعك,22
بيتم,21
صعب,21
قادر,21
تحدي,21
والكلام,21
هيحصل,21
بدل,21
اقدر,21
وربنا,21
احمد,21
روح,21
راجل,21
شفت,21
دوت,21
ديت,21
بتزيد,20
بكتير,20
جايه,20
عايش,20
بتاعها,20
بنقول,20
وممكن,20
انتوا,20
بيهم,20
بيقولوا,19
جواها,19
شغاله,19
ميه,19
بيدور,19
يطلع,19
بيساوي,19
تشوف,19
هتقدر,19
بيبقى,19
معاهم,19
بتاعتهم,19
زمان,19
عمال,18
فاحنا,18
هيطلع,18
استنى,18
هيقول,18
للي,18
عاوزه,18
يجي,18
ستي,18
تجيب,18
ليهم,17
كانتش,17
وتقدر,17
خلصت,17
بيدعم,17
هنلاقي,16
بتدور,16
بتبدا,16
جيت,16
وخد,16
هيساوي,16
جبت,16
لقيت,16
وازاي,16
هيجي,16
كويسه,16
نروح,16
اروح,16
بقت,15
بيوصل,15
وبس,15
مالهاش,15
هيقدر,15
هتشوف,15
هتقول,15
بيتحرك,15
طلعت,15
جواه,15
وكده,15
شاف,15
بتاعتها,15
جامد,15
ماحدش,15
عندهم,15
هروح,15
فبالتالي,15
بيعمل,14
هيعمل,14
حاجتين,14
بتقل,14
قدامه,14
الحته,14
الاولاني,14
فمش,13
برغم,13
بيقدر,13
بتيجي,13
شايفه,13
هتحتاج,13
وليه,13
اخد,13
تلات,13
بتتكرر,13
حواليه,13
بصوا,13
معاكي,13
عايزها,13
وبيكون,12
ونشوف,12
بتعملها,12
جايين,12
خدت,12
بتتغير,12
بيطلع,12
بينا,12
معاها,12
ومين,12
اتفضل,12
حاسس,12
وبكده,12
ولازم,12
كوبايه,12
بلاش,12
بحب,12
ونشوفكم,12
هعمل,12
بتتحرك,11
مليان,11
بيزيد,11
قدامك,11
بيخلي,11
بيبدا,11
يخلي,11
خلينا,11
اتعمل,11
ايدك,11
جينا,11
هتعرف,11
بتوع,11
برضه,11
بتتكلم,11
خليك,11
باين,11
بتكلم,11
بالنا,11
عاوزين,11
اتفضلي,11
بيسخن,11
مالوش,11
بيحب,10
اتعملت,10
نفسهم,10
عايشين,10
الصبح,10
كانوش,10
خليني,10
فتقدر,10
هيخلي,10
تحط,10
هينزل,10
بيمثل,10
اشوف,10
شغالين,10
حواليها,10
وبيقول,10
اتقال,10
باللي,10
خايف,10
عملوا,10
فاهم,10
فاهمه,10
بالكم,10
هنشوف,10
بايه,10
طياره,10
خلت,9
تحس,9
وشير,9
تاخد,9
ريت,9
ويرجع,9
الهوا,9
بياخد,9
زيه,9
وبتقول,9
هتاخد,9
عاملين,9
هتقل,9
هينفع,9
تخلص,9
ولسه,9
هتروح,9
فكده,9
بينزل,9
قدامنا,9
يشوفوا,9
بيعملوا,9
تقولش,9
تعملوا,9
لحمه,9
بشوفه,9
هجيب,9
هتشوفوا,9
هتلاقيه,9
فرخه,9
سوا,8
بيتولد,8
بيفتح,8
فاتوا,8
يشوف,8
مليانه,8
عملنا,8
ماعرفش,8
حابب,8
هقدر,8
ماشيه,8
فاللي,8
هتحصل,8
وحط,8
ماشيين,8
وراح,8
بيمر,8
بيظهر,8
فلما,8
يجيلك,8
اتغيرت,8
محتاجين,8
هتزيد,8
البوليس,8
هاخد,8
العيال,8
حط,8
هعرفك,8
تروح,8
لازما,8
استني,8
اطلع,8
فاكره,8
وحشه,8
مالها,8
للعيله,8
راحت,8
يعملوا,8
خدوا,8
بشوف,8
كيبل,8
بتتقاس,8
تديك,8
معيش,8
مفيش,8
تعدي,7
قدرت,7
الضلمه,7
وبيقدر,7
فاكرين,7
تعبان,7
لوحدك,7
رجاله,7
ريحه,7
بيسقط,7
وناس,7
هترجع,7
