mix_word,mix_count_DA,mix_count_MSA
في,3250,3240
من,1806,2483
ما,1452,997
يا,1039,934
هو,698,921
يعني,561,361
كل,534,525
كان,512,544
عن,456,504
لو,440,75
هي,418,508
جدا,352,427
هنا,340,343
مع,315,362
ولا,314,165
الجهاز,303,247
لا,284,1144
ربنا,284,117
بعد,266,283
الله,255,414
واحد,254,149
لك,254,300
طبعا,253,80
لكن,229,332
له,229,230
عليه,224,203
فيها,216,152
فيه,188,119
وفي,187,167
كانت,182,254
غير,166,127
الناس,161,183
لي,157,160
الوقت,145,198
نفس,137,144
الكلام,137,102
ب,135,84
قال,134,112
بعض,132,91
ال,130,75
هم,129,82
قبل,123,135
يوم,122,87
10,117,72
وهو,111,132
بين,109,123
مثلا,107,72
وما,102,94
تي,100,64
عند,97,117
وكان,89,132
2,89,151
عليها,86,78
وبالتالي,86,105
الفيديو,86,92
جهاز,85,93
خلال,84,103
كانوا,81,96
لنا,80,78
و,77,74
النبي,75,67
الموضوع,74,79
شكل,73,70
كنت,73,173
عمر,73,61
العالم,71,83
تكون,67,124
شاء,65,66
تعرف,64,98
يكون,64,170
قد,64,223
الزمن,63,61
الربح,63,73
وبعد,62,71
تحت,61,53
منه,61,65
لهم,61,74
مصر,60,62
نفسه,59,57
والله,59,58
الجسم,58,59
وكل,57,63
منها,54,60
3,52,63
