DA_word,count_DA
اللي,1282
هذي,1215
وش,808
راح,777
بس,676
الحين,603
اه,596
شي,548
عشان,426
اي,394
مو,373
قاعد,325
شوي,282
ابغى,238
ذا,209
وانا,201
ليه,192
عيال,185
لازم,180
شوفوا,179
برضو,173
معاي,162
خلني,159
يبغى,159
ذي,154
ايش,153
تبي,144
صح,139
نشوف,133
لين,118
فلوس,115
بقول,110
ثاني,110
عندنا,109
اشوف,108
شف,107
صار,105
خل,104
تقدر,99
ورا,93
بعدين,92
معاه,85
حنا,85
الشي,83
قسم,83
حقت,81
معليش,79
عنده,79
وراح,79
حلو,74
تبغى,73
شا,73
زين,72
نروح,71
موية,71
نسوي,70
ابوي,70
معاك,69
هلا,69
شلون,69
ايوه,67
طول,66
خلنا,66
شوف,65
برا,63
كويس,61
مدري,61
تطلع,60
طلع,59
يجي,57
تروح,55
احس,55
خي,55
قدام,54
نجيب,54
يطلع,54
زي,54
اطلع,53
تبيه,52
ارسل,52
وشو,52
قاعدين,52
يصير,51
ودي,51
ماني,51
سويت,50
دقايق,50
ذيك,50
رحت,49
نص,48
جا,48
ثمان,48
نبغى,47
نطلع,47
عطني,45
ابغاك,44
الكومنتات,43
خله,43
ونشوف,43
شفت,43
عندهم,43
شهور,43
صامل,43
لاني,42
وبرضو,41
وهذي,41
خير,41
شنو,40
زينة,40
ارجع,40
صارت,40
جاي,40
ابد,39
هذولي,39
تجيب,39
اوريكم,38
صاير,38
طلعت,38
لما,37
مستحيل,37
وقف,37
يبي,37
يوصل,36
حاط,36
يدري,36
ذاك,36
بكرة,36
زمان,35
فيك,35
تدفع,35
ناظر,35
الرجال,35
التيك,35
المكينة,35
نفك,35
احط,34
نحط,34
الكفر,34
ادخل,34
خايف,34
الموية,34
حقك,33
الربع,33
ايوا,33
تبيها,33
فيني,33
شكله,33
حقين,32
قاعدة,32
بوريكم,32
بعده,32
شغل,32
مسوي,32
خمسطعشر,31
اخوياي,31
تشوف,31
رجال,31
كذاب,31
تشوفون,31
الشنطة,31
كلهم,30
زيادة,30
روح,30
انزل,30
عارف,30
ذولي,29
اس,29
فهمت,29
تكفون,29
تجي,28
حاب,28
حقه,28
دايما,28
يمه,28
خوي,28
يروح,28
شباك,28
تدري,27
حقته,27
رجع,27
اشتري,27
بكتب,27
وخمس,27
للحين,27
المطفرين,27
اخلص,27
يشوف,26
باي,26
رابط,26
تسع,26
اتصال,26
غلط,26
يجيب,25
رح,25
جيت,24
احسه,24
ماخذ,23
ونص,23
وايد,23
بروح,22
حطيت,21
كويسة,21
الطيارة,21
يناظر,21
رايح,21
قايل,21
فكينا,21
انتو,20
اسويه,20
توه,20
الجاية,20
الهوا,20
السيكل,20
فهمتوا,19
حط,19
قعد,19
ثنتين,19
معايا,19
وينك,19
يجيك,19
شفتوا,19
اثنعشر,18
بسوي,18
احنا,18
جت,18
خويه,18
يبغون,18
ابيه,18
وقاعد,17
خلص,17
خمسطعش,17
خلك,17
وليه,17
ايوة,17
يبه,17
اخلي,16
يشوفون,16
خلوني,16
عارفين,16
ونرجع,16
شرايك,16
نخلي,15
بعطيك,15
بطلع,15
الصبح,15
الكهرب,15
تحط,15
جتني,14
سوينا,14
ابيها,14
ويجي,14
فراح,14
والشي,14
اشوفه,14
كورة,14
اسولف,14
شو,14
كيت,14
شسمه,14
هني,14
خلصنا,14
صاحي,14
بيجي,13
برسل,13
بنسوي,13
انتوا,13
جايب,13
حقتي,13
نسويه,13
تسويه,13
بعلمكم,13
عايدي,13
سطعشر,13
اجي,13
هذيك,13
نخلص,12
تنباع,12
يبغاه,12
بنروح,12
تسويها,12
ابغاه,12
ودك,12
طب,12
بدت,12
كاش,12
وابغى,12
والحين,12
ابيك,12
ونحط,12
قفل,12
جبنا,12
شفتك,12
حسيت,12
ونطلع,12
جينا,11
اسويها,11
بديت,11
بحاول,11
ناظروا,11
جبت,11
خذت,11
مطفرين,11
بيقول,11
نخليه,11
يجون,11
وحاط,11
واروح,11
تشوفني,11
يتكلمون,11
اثنعش,11
شالسالفة,11
بينصدم,11
وزي,11
شوية,11
اح,11
القزازة,11
نشتغل,10
نسويها,10
فايدة,10
اخوياه,10
تبغون,10
وقعد,10
سالفة,10
شاف,10
شفيك,10
بتصل,10
غلطان,10
شسوي,10
ورني,10
اوكيه,10
تبون,10
حاطه,10
بيجيك,10
بغيت,10
يسوون,10
ادور,10
اربعطعش,10
اوريك,10
اهلين,10
حطينا,10
بعطيه,9
ثانوي,9
دي,9
ناوي,9
حقتها,9
طحت,9
فويس,9
كنه,9
ويبغى,9
ويطلع,9
وياه,9
متخيلين,9
خليته,9
رايحين,9
البيبان,9
واشوف,9
طالعين,9
تدرون,9
ني,9
جيب,9
بحول,9
موتر,9
سيكل,9
بوية,9
شذي,9
واسوي,8
بعطيكم,8
آآ,8
باليوتيوب,8
طاح,8
يطلعون,8
يروحون,8
جاه,8
جايك,8
عيالي,8
خذا,8
برجع,8
اربعطعشر,8
قدرنا,8
بعلمك,8
جد,8
اش,8
دام,8
وابغاك,8
وخمسطعش,8
سويتها,8
وشوف,8
وطلع,8
بخليه,8
وينها,8
بحط,8
يجينا,8
نشيك,8
احدعش,8
تشوفونه,8
نخليها,8
اخليه,8
شاري,8
بدفع,8
بشي,8
دق,8
راعيه,8
مش,8
قدامي,8
يبغالها,8
نو,7
بتكون,7
بنجرب,7
يمدينا,7
ويشوفون,7
يبغالنا,7
تشوفه,7
الين,7
اخليها,7
فلوسك,7
افظل,7
داق,7
يجيه,7
راعي,7
حبيت,7
ماسك,7
يضبط,7
طلعنا,7
تبغاني,7
الابو,7
شفتها,7
تقعد,7
يحط,7
تشوفها,7
عايدية,7
وينه,7
بلكني,7
وقعدت,7
وشي,7
شايل,7
شغالة,7
نحطه,7
ونروح,7
فالحين,7
دفني,7
نتكلم,7
جنبي,7
ونجيب,7
ادق,7
واظح,7
بنطلع,7
بدال,7
بخمسطعشر,7
نبي,7
وسهلين,7
تطقطق,7
ونظبط,7
البدي,7
لحال,7
احدعشر,6
وشلون,6
تخلي,6
رهيب,6
واخلي,6
يجيبون,6
قدامكم,6
وسويت,6
راضي,6
الباسورد,6
ابغاها,6
مريت,6
بيطلع,6
تجيني,6
واشوفكم,6
يطق,6
يوقفون,6
يخلص,6
قعدنا,6
حاصل,6
صاروا,6
للسجن,6
خلصوا,6
لابوي,6
بسجل,6
بصور,6
عطيته,6
بكيفك,6
بيصير,6
حاطين,6
بشوف,6
قعدوا,6
حقتنا,6
ونحطها,6
حطها,6
قدامك,6
نبيعه,6
اشوفها,6
ومدري,6
القى,6
ساكنين,6
حس,6
كني,6
تسعطعش,6
وسبعطعش,6
الكورة,6
مستانس,6
موب,6
خوينا,6
باللي,6
للمدرسة,6
شايف,6
اشوفكم,6
بالفراجة,6
بريك,6
الثنتين,6
نخلصها,6
خليت,6
للصناعية,6
ويصير,6
هوا,6
بسألك,6
شريت,6
خلاني,6
وتجيك,6
جبارة,6
تو,6
فدا,6
يمديني,6
انزين,6
خلونا,6
نشيل,6
يشوفني,6
اطيح,6
واحط,6
يبيه,6
عقب,6
واقدر,6
شروا,6
بناخذ,6
وتشترك,6
جابت,6
صدع,6
مركب,6
اشيله,6
اللوكيشن,5
بنزل,5
وتقدر,5
يشوفه,5
وتصير,5
بدري,5
الموظوع,5
قول,5
القروب,5
مرسل,5
وتبي,5
اللوجو,5
قربنا,5
لقيت,5
يشتغلون,5
يسولفون,5
موتري,5
هدي,5
ماخذها,5
خلصني,5
يوه,5
وراه,5
اشتغلنا,5
واخليه,5
سووا,5
يسويها,5
قدامه,5
مننا,5
واتس,5
المئتين,5
تسولف,5
تشوفونها,5
شسالفة,5
بجيب,5
واجيكم,5
بقعد,5
بدخل,5
ثمانطعش,5
واني,5
واجي,5
وحق,5
عارضه,5
يأثر,5
بشتري,5
تجيك,5
متخيل,5
عرفنا,5
لمنطقة,5
قريت,5
مسوين,5
يقعد,5
بتسوي,5
سويناها,5
حجر,5
نقفل,5
وده,5
وابوي,5
يبا,5
وشوي,5
البس,5
عطنا,5
الحوسة,5
شافني,5
غلطت,5
واحصل,5
سالفته,5
تيلة,5
اسوق,5
ونطلعها,5
يبغانا,5
اذلف,5
الشبك,5
اخوياك,5
جات,5
وياك,5
محد,5
الجاي,5
عطه,5
يوصلك,5
بهذي,5
دبل,5
بمزاد,5
منو,5
لمي,5
طقيت,5
نايمين,5
باين,5
وراك,5
وحطيناه,5
القزاز,5
اشتره,5
مكاين,5
نشوفه,5
يستهبل,5
بنحط,5
باجي,5
حليله,5
سابقين,5
عرفتوا,5
قهرني,5
الجنب,5
مخطي,5
يصدع,5
تخليها,5
كذي,5
نبغاها,4
يبون,4
سادس,4
ابتدائي,4
وحطيت,4
دامه,4
نجيبها,4
خلها,4
الباسوورد,4
ويحط,4
قفلت,4
ناظرت,4
بيوصل,4
بث,4
العيال,4
صافي,4
يطيح,4
لنهاية,4
كهرب,4
ستاند,4
تبغاه,4
تبدل,4
بنحاول,4
وجيت,4
وقاعدين,4
عايش,4
وحنا,4
واناظر,4
بياخذ,4
بالاصل,4
وحط,4
واخوي,4
بفاضي,4
بدق,4
مجمع,4
بفلوس,4
اشوفك,4
شايفين,4
زحمة,4
ابين,4
محول,4
الجون,4
راحوا,4
عطوني,4
الدوام,4
بطايق,4
ينحط,4
نحطها,4
اعبي,4
لحالها,4
بتجي,4
احسها,4
وتبغى,4
دامك,4
دريت,4
امن,4
يبيعها,4
خرابيط,4
نصها,4
ومعاه,4
يوقف,4
ريح,4
يطفى,4
واصير,4
وثمنطعش,4
وتسعطعش,4
ستوب,4
بالكورة,4
فلوسي,4
جب,4
مخلي,4
وتطلع,4
بشوي,4
مكلمني,4
يشوفها,4
بكون,4
طالبك,4
طيارة,4
التيم,4
يبغاني,4
وذا,4
شرى,4
داهية,4
تبيني,4
وتفعل,4
صبت,4
نايم,4
لشي,4
حطيناه,4
عالزيت,4
وسيع,4
