mix_word,mix_count_DA,mix_count_MSA
ما,2124,904
في,2079,2008
يا,1550,1463
من,1233,1639
هذا,1137,1334
والله,976,745
لا,930,1918
له,833,614
الله,822,824
الخير,656,534
طيب,612,211
جماعة,606,544
يعني,567,322
مرة,531,155
قال,522,422
لي,519,441
هنا,517,536
لك,437,320
ولكن,429,347
ريال,416,221
فيه,384,144
هو,368,647
ولا,351,98
السيارة,350,372
مئة,331,146
واحد,317,132
خلاص,304,93
بعد,301,306
كل,294,353
فيها,273,150
مع,267,314
قلت,264,225
طبعا,251,139
تمام,247,79
قبل,232,227
العظيم,231,189
كان,230,426
عليه,221,142
يقول,220,186
يوم,215,137
شخص,184,256
لو,181,88
كم,179,152
اليوم,174,181
بالله,169,272
حرفيا,169,165
هي,166,288
عن,162,252
لكم,161,121
دقيقة,161,138
الشخص,157,206
الثاني,152,137
داخل,152,134
عند,151,119
سلام,150,62
عشرة,149,207
شيء,148,588
علي,144,67
عليكم,143,123
ثلاث,142,65
كبير,140,109
نفس,140,103
على,136,516
بشكل,135,148
كنت,134,273
لها,128,69
شاء,126,210
يمكن,123,66
البيت,123,100
خالد,123,119
يكون,119,113
وعشرين,118,61
موجود,116,76
كلها,116,56
المهم,114,107
ساعة,111,108
الناس,110,165
جون,108,97
عليك,107,82
المقطع,107,110
مقطع,107,74
مشكلة,107,115
تعال,103,100
لنا,99,78
هل,93,692
اتصل,90,58
كانت,90,160
حياك,88,52
سيارة,88,93
الموضوع,87,90
نعم,85,614
بسم,85,86
ترى,83,51
خمسة,82,151
القناة,82,81
اسمع,79,54
الثانية,79,75
الباب,78,80
مكان,75,76
رقم,74,65
هناك,74,525
عليها,72,57
سعد,71,64
المدرسة,71,79
الساعة,70,70
منه,70,65
وهذا,67,76
السلام,67,115
تكون,67,80
بعض,66,80
حبيبي,66,66
المشكلة,63,71
ثلاثة,63,100
المكان,59,70
محمد,58,55
الرحمن,56,55
وهو,55,106
الرياض,55,60
بعشرة,55,54
كيف,54,153
مثل,54,107
اليوتيوب,54,53
الجهاز,53,51
بسرعة,52,55
يحتاج,52,73
