DA_word,count_DA
اللي,1115
هيك,1050
شو,1022
بس,997
هون,873
راح,756
كمان,595
هلا,528
عننا,507
عم,500
بدي,476
بدك,392
مو,367
رح,307
مشان,274
شي,253
بده,224
حلو,209
ملاحظين,196
بعرف,190
لازم,187
هاي,183
صار,178
خلينا,175
هدول,175
ليش,173
لما,163
شوي,163
شغله,154
بعدين,138
حدا,138
اي,138
بدنا,136
خلص,126
بصير,125
شايفين,125
كتير,120
شده,119
مش,110
بتحسن,101
بقول,90
وين,86
هذول,83
هيدي,83
هالمره,83
يطلع,82
وحده,81
عنده,80
مين,79
طلع,78
بدها,78
روح,74
طلعت,69
عاد,68
الاي,67
نرجع,66
شوف,64
بيقول,63
بدكم,63
لسه,63
ناس,62
الام,62
سي,61
منيح,60
يلي,58
تبع,57
تطلع,57
اه,55
يصير,54
ايه,54
غوالي,54
طب,53
شايف,52
ام,52
عشان,51
ترجع,51
صح,51
بحب,49
بجوز,48
نبلش,48
شغلات,48
حابب,48
لعيون,48
نشوف,47
ايش,46
المود,46
ثاني,45
فيهم,45
بكره,45
شلون,45
طلعنا,45
نيجي,45
احسن,44
مسج,44
بيعرف,43
معلش,43
بيطلع,43
المهمات,42
احنا,41
شوفوا,40
قديش,39
خليني,39
لحد,39
احكي,39
لعيوني,39
وشو,38
مسك,38
بيكون,38
لنشوف,38
فمثل,38
نجي,38
مصاري,38
اعمل,36
را,36
معناتها,36
لعيونكم,36
هن,35
بروح,35
صارت,35
حالك,35
نطلع,35
اجا,34
وراح,34
رهيب,34
تفتيح,34
مهمات,34
خطي,34
بتقول,33
تروح,33
افتح,33
لهون,33
بنت,33
حابين,33
بحظ,33
فخلينا,33
كويس,32
اشي,32
اشتغل,32
شب,32
نفتح,32
حاله,31
هال,31
الكل,31
بيجي,30
تصير,30
بتطلع,30
سكنات,30
بعده,30
بتعرفوا,30
بدهم,29
بتكون,29
اروح,29
لعند,29
ضروري,29
بتصير,28
بقدر,28
وبعدين,28
بكون,28
ماشي,28
شغال,27
وهلا,27
حط,27
بدل,27
نص,26
وهيك,26
كذا,26
نحط,26
معقول,26
شفت,26
تحسن,26
خطا,26
وهون,25
فيك,25
بتحب,25
بتعرف,25
ايده,25
بيمشي,24
يجي,24
وعم,24
اطلع,24
بتروح,24
اشوف,24
ولو,24
بتحط,24
بلا,24
الباكج,24
وعنا,24
نعمل,24
نحكي,24
بنوب,24
يحكي,23
قاعد,23
ونص,23
مبين,23
لحتى,23
بحط,23
تحط,23
يرجع,23
حساب,23
سنين,23
بيناتكم,23
بال,23
خلاص,23
تشتري,23
تانيه,23
الك,22
ارجع,22
خبرتكم,22
بنفس,22
حكيت,22
بحكي,22
ليفل,22
تحكي,22
دخول,22
السيزون,22
بحظي,22
كلهم,21
حب,21
بشتغل,21
خلي,21
للشيء,21
تغير,21
موجودين,21
باقي,21
نكمل,21
للغوالي,21
بحسن,21
بحيث,20
برجع,20
متل,20
