mix_word,mix_count_DA,mix_count_MSA
ما,2713,842
في,2185,1883
يعني,1337,767
من,1163,1790
الله,941,911
يا,686,723
هو,642,721
هذا,635,973
هي,544,394
طبعا,502,244
لا,476,1665
يكون,445,210
تمام,430,92
له,366,325
كل,352,383
واحد,343,108
شاء,312,307
لك,304,286
والله,302,292
مع,298,324
شيء,265,554
ولا,263,165
لي,260,289
قال,248,251
رب,226,220
مثل,221,183
عليه,211,191
معنا,209,184
لكم,199,212
عن,198,280
نحن,197,127
فيها,193,126
كان,190,370
فيه,180,103
مثلا,180,114
بعد,169,233
الحدث,162,174
على,148,558
تكون,141,124
يوم,140,98
قبل,137,139
بسم,131,125
بشكل,131,200
لنا,128,193
معي,125,94
ولكن,125,212
كيف,113,188
شباب,106,93
عليها,105,92
سلاح,102,94
10,102,61
منه,94,83
نفس,93,116
معك,89,58
المقطع,88,92
صندوق,85,73
السلاح,82,82
شكل,78,59
معه,77,53
حاليا,77,78
ال,73,52
الحظ,73,72
اليوم,72,101
الخاص,71,69
لو,70,71
فقط,70,282
باس,69,68
القادم,69,67
غير,68,102
الثاني,68,89
حدث,68,118
بعض,67,91
بهذا,67,65
قلت,67,84
التعليقات,67,68
موضوع,65,56
لكن,64,520
لله,63,59
خلال,63,68
ببجي,63,62
كنت,62,163
الجهاز,61,62
كم,61,98
عندنا,60,80
المهم,59,63
هذه,59,813
عليك,58,100
دائما,56,67
الناس,54,84
الرويال,54,62
ننتقل,52,62
