MSA_word,count_MSA
أن,1524
إلى,769
أنا,480
عندما,435
أي,362
تلك,322
أو,309
أنني,304
شيئا,277
ليس,275
إذا,236
بصراحة,233
ولم,224
هل,205
لقد,197
أنه,189
أريد,177
الأمر,175
لماذا,170
مرة,168
أنت,166
أمي,165
الآن,164
أقول,163
لكي,162
ذهبت,158
قليلا,154
أختي,150
أخي,149
لن,145
كثيرا,132
إنه,131
حسنا,131
أكن,121
أعرف,120
وأنا,118
الكثير,117
أعني,117
جيدا,116
يجب,110
المنزل,108
أخرى,106
يكن,103
الذين,102
الأشياء,96
يريد,94
أحد,94
أنها,93
وعندما,92
أيضا,92
لأنه,92
إلي,90
جيد,88
أين,88
الأمور,86
ابني,86
ابن,85
يوجد,83
يأتي,82
اللحظة,80
أشعر,80
منذ,79
آخر,79
نحن,78
أم,77
إلا,77
لأنني,77
أما,75
أستطيع,74
أنك,73
حدث,73
بدأت,73
البداية,72
أردت,70
مشكلة,70
إنها,70
إليه,69
أرغب,69
جاءت,68
الأيام,67
بالفعل,66
أننا,64
أذهب,64
واحدة,60
رأسي,59
والدتي,58
أفضل,58
لديه,57
حقا,57
أفعل,56
تأتي,56
وليس,55
أعد,55
آه,55
الطريقة,55
المرة,54
عنه,54
تريد,54
أكثر,54
جيدة,54
ليست,53
أصبحت,52
لكنها,49
انظري,49
وضعت,49
البضاعة,49
الإطلاق,48
لمدة,48
أتحدث,48
الفتيات,48
لأنها,47
انظر,46
لكنني,46
فلانة,46
الفتاة,45
سوف,45
بذلك,45
المشكلة,45
وقد,45
بينما,45
أخذت,45
فقال,45
أبدا,45
تكن,43
معا,43
بشيء,43
أعمل,43
لديها,43
بالتأكيد,43
جميلة,42
عني,42
حوالي,41
مكان,41
إليها,41
بأس,41
أتمنى,41
عنها,40
أفكر,40
هؤلاء,40
يقولون,40
يمكنكم,40
الخاصة,39
شخصا,39
يحدث,39
السيدة,39
أول,39
أيام,39
ذهب,39
المكان,38
فترة,38
قمت,38
وذهبت,37
يتحدث,37
عدت,37
أبي,37
ذهبنا,36
يبدو,36
يعد,35
وإذا,35
يمكنك,35
كبيرة,35
وبدأت,34
ابنة,34
ألا,34
لدينا,34
أستطع,34
الآخر,34
النهاية,33
لذلك,33
وأنت,33
الضروري,33
لكنه,33
تعرفون,33
أجد,33
لديهم,32
رأيت,32
إخوتي,32
مباشرة,32
بأي,32
المدرسة,32
رأيتم,32
مريضة,31
سأذهب,31
أعود,31
إليهم,31
أحيانا,31
أولا,31
الأولاد,31
أخواتي,31
أنهم,30
فتاة,30
التحدث,30
الأرض,30
والآن,30
أمام,30
لست,30
تحدثت,30
بسرعة,30
يعمل,30
وأقول,30
أبكي,29
يتعلق,29
أحب,29
أقسم,29
أرى,29
الطعام,29
أكذب,29
أكون,29
لذا,28
المرأة,28
المدينة,28
أحضر,28
هيا,28
القصة,27
امرأة,27
انظروا,27
انتهى,27
إلينا,27
صعبة,26
بأن,26
وهكذا,26
الحالة,26
تتحدث,26
يوما,26
لحظة,26
سنة,26
أحاول,26
أنتم,26
يظهر,26
العجينة,26
البعض,25
الأول,25
إليك,25
زوجة,25
وهناك,25
الأسبوع,25
الطاولة,25
الحقيقة,25
بالكامل,25
يمكنني,25
زوجها,25
أقوم,25
رأى,25
الواقع,25
أخبركم,25
فتيات,25
أهلي,25
تشعر,24
بيننا,24
الحياة,24
تذهب,24
ثلاثة,24
الليلة,24
يفعل,24
يذهب,24
الأهم,24
بدأ,24
جميل,24
أمامي,24
المزيد,23
أراد,23
الوالدة,23
أعلم,23
أعيش,23
الساعة,23
أشياء,23
واحدا,23
أخرج,23
الأرز,23
أضيف,23
قصة,22
الأولى,22
الأفضل,22
الذهاب,22
أدخل,22
أليس,22
فقالت,22
تحدث,22
سألته,22
