mix_word,mix_count_DA,mix_count_MSA
ما,2135,650
في,1716,2437
من,1081,1616
لي,1001,1097
واحد,828,84
على,631,726
يعني,623,293
مع,549,530
قلت,548,522
غير,535,68
كنت,531,678
حتى,525,470
ولكن,521,318
هو,470,560
المهم,468,399
كان,461,677
الله,430,430
هي,385,254
ولا,382,217
هذا,375,664
لا,338,1178
كانت,322,455
فيها,292,112
علي,286,151
لها,276,295
مني,247,109
بعد,234,234
له,228,406
لكم,227,206
وما,225,59
هنا,221,270
عليه,215,111
قالت,213,213
عليها,203,90
قال,187,394
بقيت,185,119
عند,182,74
الناس,177,166
فيه,177,110
لهم,164,159
يا,158,353
شاء,146,145
معه,138,156
والله,137,138
ولدي,132,54
عليك,131,76
لك,127,223
كل,127,423
هذه,123,296
به,114,154
لله,95,100
قبل,92,101
معها,89,93
بقينا,88,59
الوقت,87,179
معك,83,72
نفس,83,85
عليكم,81,62
منها,80,72
وهي,77,70
معهم,77,85
الحمد,77,75
الحال,74,79
كانوا,73,81
كيف,73,171
معكم,72,63
بها,71,115
عمي,71,69
وهذا,69,106
كنا,67,104
اليوم,63,175
خالد,60,61
وفي,57,98
وقلت,57,107
علال,57,52
الفيديو,55,54
يكون,54,108
تكون,54,72
تقريبا,53,53
ومن,51,51
